央视卫视,#genre#
QQ群:664117428, QQ群:664117428,
CCTV1综合高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/2300000/mnf.m3u8
CCTV1综合高清[1920*1080][1920*1080],http://223.110.243.138:80/PLTV/3/224/3221226316/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=3444
CCTV2财经高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=1
CCTV3综艺高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV4中文国际高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv4hd/3000/index.m3u8?&encrypt=1
CCTV4中文国际高清[982*540][982*540],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv4/1300000/mnf.m3u8
CCTV5体育高清[1280*720][1280*720],http://180.153.99.176/keonline.shanghai.liveplay.qq.com/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV5体育高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV5 体育赛事高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/2300000/mnf.m3u8
CCTV6电影高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=1
CCTV6电影高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv6hd/2300000/mnf.m3u8
CCTV7国防军事高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=1
CCTV7国防军事高清[982*540][982*540],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv7/1300000/mnf.m3u8
CCTV8电视剧高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv8hd/2300000/mnf.m3u8
CCTV8电视剧高清[1920*1080][1920*1080],http://183.207.248.35:80/PLTV/3/224/3221227205/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=3464
CCTV9纪录高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=1
CCTV10科教高清[1280*720][1280*720],http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=1
CCTV11戏曲高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=1
CCTV12社会与法高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=1
CCTV12社会与法高清[736*540][736*540],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv12/1300000/mnf.m3u8
CCTV14少儿高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/ocn/cctv14hd/3000/index.m3u8?&encrypt=1
CCTV14少儿高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctvsehd/2300000/mnf.m3u8
CCTV15音乐高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv15hd/57/index.m3u8?&encrypt=1
CCTV17农业农村高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv17hd/57/index.m3u8?&encrypt=1
湖南卫视高清[1280*720][1280*720],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/hnwshd/2300000/mnf.m3u8
湖南卫视高清[1920*1080][1920*1080],http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd-hunanhd-2500/index.m3u8?&encrypt=1
